group1,group2,group3,heading1,heading2,heading3,name,stratum
U.S. Forest Service,Region 1 ,Region 1 National Forests,U.S. Forest Service,Region 1 ,Region 1 National Forests,USFS-Region 1 National Forests in Montana,USFS-Region 1 National Forests in Montana
U.S. Forest Service,Region 1,Region 1 National Forests,,,,Beaverhead-Deerlodge National Forest,Beaverhead-Deerlodge National Forest
U.S. Forest Service,Region 1,Region 1 National Forests,,,,Bitterroot National Forest in Montana,Bitterroot National Forest in Montana
U.S. Forest Service,Region 1,Region 1 National Forests,,,,Custer National Forest,Custer National Forest
U.S. Forest Service,Region 1,Region 1 National Forests,,,,Flathead National Forest,Flathead National Forest
U.S. Forest Service,Region 1,Region 1 National Forests,,,,Gallatin National Forest,Gallatin National Forest
U.S. Forest Service,Region 1,Region 1 National Forests,,,,Helena National Forest,Helena National Forest
U.S. Forest Service,Region 1,Region 1 National Forests,,,,Kootenai National Forest in Montana,Kootenai National Forest in Montana
U.S. Forest Service,Region 1,Region 1 National Forests,,,,Lewis and Clark National Forest,Lewis and Clark National Forest
U.S. Forest Service,Region 1,Region 1 National Forests,,,,Lolo National Forest,Lolo National Forest
U.S. Forest Service,Region 1,Region 1 National Grasslands,,,Region 1 National Grasslands,Region 1 National Grasslands: Total,USFS-Region 1 National Grasslands 2013-Present
U.S. Forest Service,Region 1,Region 1 National Grasslands,,,,Cedar River National Grassland,ND-BCR17-RG
U.S. Forest Service,Region 1,Region 1 National Grasslands,,,,Grand River National Grassland,SD-BCR17-RG
U.S. Forest Service,Region 1,Region 1 National Grasslands,,,,Little Missouri National Grassland,ND-BCR17-MG
U.S. Forest Service,Region 2,Region 2 National Forests,,Region 2,Region 2 National Forests,Region 2 National Forests: Total,USFS-Region 2 National Forests
U.S. Forest Service,Region 2,Region 2 National Forests,,,,Black Hills National Forest,Black Hills National Forest
U.S. Forest Service,Region 2,Region 2 National Forests,,,,Arapaho and Roosevelt National Forests,CO-BCR16-AR
U.S. Forest Service,Region 2,Region 2 National Forests,,,,Bighorn National Forest,WY-BCR10-BI
U.S. Forest Service,Region 2,Region 2 National Forests,,,,"Grand Mesa, Uncompaghre and Gunnison National Forests",CO-BCR16-GM
U.S. Forest Service,Region 2,Region 2 National Forests,,,,Medicine Bow National Forest,Medicine Bow National Forest
U.S. Forest Service,Region 2,Region 2 National Forests,,,,Nebraska National Forests (Nebraska and Samuel R. McKelvie),Nebraska National Forests 2013-2023
U.S. Forest Service,Region 2,Region 2 National Forests,,,,Pike and San Isabel National Forests,CO-BCR16-PS
U.S. Forest Service,Region 2,Region 2 National Forests,,,,Rio Grande National Forest,Rio Grande National Forest
U.S. Forest Service,Region 2,Region 2 National Forests,,,,Routt National Forest,Routt National Forest
U.S. Forest Service,Region 2,Region 2 National Forests,,,,San Juan National Forest,CO-BCR16-SA
U.S. Forest Service,Region 2,Region 2 National Forests,,,,Shoshone National Forest,Shoshone National Forest
U.S. Forest Service,Region 2,Region 2 National Forests,,,,White River National Forest,White River National Forest
U.S. Forest Service,Region 2,Region 2 National Grasslands,,,Region 2 National Grasslands,Region 2 National Grasslands: Total,USFS-Region 2 National Grasslands 2016-Present
U.S. Forest Service,Region 2,Region 2 National Grasslands,,,,Comanche National Grassland,CO-BCR18-CO
U.S. Forest Service,Region 2,Region 2 National Grasslands,,,,Cimarron National Grassland,KS-BCR18-CM
U.S. Forest Service,Region 2,Region 2 National Grasslands,,,,"Nebraska National Grasslands (Buffalo Gap, Fort Pierre and Oglala)",Nebraska National Grasslands
U.S. Forest Service,Region 2,Region 2 National Grasslands,,,,Public Lands on Pawnee National Grassland,CO-BCR18-PG
U.S. Forest Service,Region 2,Region 2 National Grasslands,,,,Thunder Basin National Grassland,WY-BCR17-TB
